COVID-19 Vaccinations in the United States
Date generated: Tue May 18 2021 15:13:52 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,792755,108367,143729,587406,80297,571073,103537,321214,43.9,311164,56.4,277105,37.9,270759,49.1,391755,345300,55700,0,17546,260436,309335,89,119301,141503,16277,24,119009,135523,16203,24,260828,43.9,311164,56.4,35.7,254556,46.2,321214,72462,79.1,67708,73.9,38630,27208,1855,15,136604,149151,865566,321001,52.7,277100,45.5,119300,141501,16275,24,587197,96439,130200
Alabama,4373130,89190,114634,2886153,58863,2865079,75103,1699915,34.7,1685904,44.2,1350830,27.6,1343359,35.2,2151630,1953900,267600,0,89783,1384992,1411378,0,609493,649639,91624,74,609341,642360,91584,74,1259206,34.7,1685904,44.2,25.7,1251775,32.8,1699915,637422,75,540223,63.6,285630,227414,27133,46,1129031,132853,514585,1699637,40.6,1350816,32.3,609487,649633,91622,74,2885869,68926,104448
Arkansas,2720090,90135,117364,1970379,65292,1941883,83787,1136470,37.7,1117390,48.2,885128,29.3,875357,37.8,1339650,1206440,174000,0,61661,933906,974309,503,408573,416193,60243,119,408045,407243,59952,117,824885,37.7,1117390,48.2,27.3,815405,35.2,1136470,392202,74.9,323959,61.8,187374,126733,9770,82,708549,135250,519218,1135037,44.4,884982,34.6,408569,416158,60136,119,1968892,76993,106368
American Samoa,54030,97021,124387,40525,72770,39129,90082,22498,40.4,21702,50,18182,32.6,17585,40.5,37830,15600,600,0,22,9382,31121,0,4105,14048,29,0,4094,13462,29,0,18153,40.4,21702,50,32.6,17556,40.4,22498,2500,26.4,2228,23.5,892,1330,6,0,4640,49012,570719,22497,47.3,18181,38.2,4104,14048,29,0,40523,85209,113611
Arizona,7465065,102560,132395,5618126,77186,5515246,97814,3188365,43.8,3122206,55.4,2449013,33.6,2415102,42.8,3937245,3119120,408700,0,171468,2468389,2974503,3766,1014392,1268305,165080,1236,1014178,1234710,164980,1234,2283933,43.8,3122206,55.4,31.4,2250122,39.9,3188365,1061533,81.1,880202,67.3,432487,415634,31312,769,1989731,152047,570448,3188079,51.4,2448944,39.5,1014379,1268283,165046,1236,5617745,90520,120287
Bureau of Prisons,177850,N/A,N/A,171038,N/A,171037,N/A,95946,N/A,95945,N/A,78724,N/A,78724,N/A,99450,70300,8100,0,4434,67688,98916,0,28532,45778,4414,0,28532,45778,4414,0,74310,N/A,95945,N/A,0,74310,0,95946,3194,0,2822,0,1352,1406,64,0,5987,0,0,95945,0,78724,0,28532,45778,4414,0,171037,0,0
California,44241580,111969,144497,35341738,89445,34492188,112655,21092951,53.4,20505611,67,15287883,38.7,15022064,49.1,23468640,18245640,2527300,0,1245409,15159823,18932208,4298,6228659,7822977,1235129,1118,6217580,7572936,1230450,1098,14052754,53.4,20505611,67,35.6,13791614,45,21092951,5222772,89.5,4072859,69.8,2114155,1828763,129455,486,9244960,158355,757806,21081215,62.7,15286990,45.4,6228299,7822683,1234890,1118,35329306,105002,131490
Colorado,6403480,111196,142324,5187825,90086,5066230,112602,2914464,50.6,2834479,63,2380766,41.3,2338804,52,3382080,2700400,321000,0,171819,2287491,2727155,1360,1009493,1201280,169604,389,1007543,1161973,168904,384,2211162,50.6,2834479,63,38.4,2169900,48.2,2914464,714005,84.8,635070,75.4,317581,301862,15458,169,1356953,161079,760136,2913132,59,2380727,48.2,1009483,1201268,169587,389,5186464,105073,129729
Connecticut,4238825,118892,149368,3736215,104794,3640570,128286,2118098,59.4,2052464,72.3,1737243,48.7,1708672,60.2,2283645,1715480,239700,0,141494,1495187,2099244,290,661299,934215,141662,67,660993,906071,141542,66,1595581,59.4,2052464,72.3,44.8,1567130,55.2,2118098,581221,92.2,530737,84.2,207949,308291,14475,22,1110200,176154,672569,2117009,68.2,1736867,55.9,661105,934099,141596,67,3734768,120246,136474
District of Columbia,960675,136121,166327,724576,102668,720126,124680,381520,54.1,377329,65.3,286901,40.7,285535,49.4,523575,384800,52300,0,23299,287165,413947,165,108615,151170,26974,142,108590,149848,26957,140,259927,54.1,377329,65.3,36.8,258578,44.8,381520,70658,80.9,60003,68.7,34764,23381,1844,14,158192,181116,1099890,381481,62.6,286887,47,108611,151162,26972,142,724516,118821,157551
Dept of Defense,4190180,N/A,N/A,3327569,N/A,3296356,N/A,1977886,N/A,1957006,N/A,1366244,N/A,1356247,N/A,2282280,1725200,182700,0,98520,1455092,1773558,399,552762,717878,95604,0,552707,707961,95579,0,1270640,N/A,1957006,N/A,0,1260668,0,1977886,169870,0,121585,0,43197,74236,4152,0,295978,0,0,1975443,0,1366141,0,552741,717806,95594,0,3325032,0,0
Delaware,1122975,115323,145805,868191,89158,852289,110659,495609,50.9,485398,63,384270,39.5,380142,49.4,589875,472000,61100,0,37419,350642,479856,274,142570,204721,36850,129,142505,200684,36824,129,347420,50.9,485398,63,35.7,343318,44.6,495609,170044,90,146373,77.5,59759,79065,7468,81,317139,167882,594462,495483,59,384250,45.8,142568,204709,36844,129,868044,103362,133718
Florida,22546275,104975,130720,17431492,81161,17245197,99985,9858497,45.9,9730540,56.4,7667248,35.7,7610521,44.1,11690055,9301420,1554800,0,688850,7458181,9253823,30638,3091483,3886487,679316,9962,3090736,3830835,678991,9959,6987932,45.9,9730540,56.4,32.5,6931530,40.2,9858497,3887442,86.4,3272314,72.8,1636138,1480273,148405,7498,7440693,165447,501325,9852237,52.7,7666458,41,3090913,3886417,679166,9962,17424510,93199,120594
Federated States of Micronesia,77800,75065,96237,38461,37109,38437,47546,22512,21.7,22492,27.8,16606,16,16602,20.5,0,67600,10200,0,657,37804,0,0,15916,31,659,0,15912,31,659,0,15947,21.7,22492,27.8,15.4,15943,19.7,22512,1957,11.1,1612,9.1,1495,5,112,0,3442,19536,441569,22506,25.4,16605,18.8,15915,31,659,0,38454,43446,87901
Georgia,10223535,96290,126006,7120620,67065,7015686,86469,4001973,37.7,3930045,48.4,3133196,29.5,3100073,38.2,5322135,4335500,565900,0,175411,3197591,3747094,524,1373479,1587240,172172,305,1373151,1554673,171950,299,2961024,37.7,3930045,48.4,27.9,2928123,36.1,4001973,1183690,78,1008879,66.5,566670,419799,22251,159,2264770,149297,673952,4000618,44.5,3133022,34.9,1373444,1587184,172089,305,7119178,79207,113745
Guam,173470,104646,134162,145727,87910,141670,109568,81922,49.4,79480,61.5,64830,39.1,63216,48.9,98670,63700,11100,0,1804,57365,86558,0,23169,39851,1810,0,23164,38242,1810,0,63020,49.4,79480,61.5,38,61406,47.5,81922,14089,50,12349,43.8,5195,7006,148,0,26446,93843,615557,81916,57.9,64829,45.8,23168,39851,1810,0,145720,102937,122540
Hawaii,1657410,117059,148513,1476873,104308,1442922,129294,880868,62.2,853298,76.5,623006,44,615984,55.2,926250,654860,76300,0,28658,529033,825422,93760,220034,355959,28942,18071,219756,349326,28848,18054,594064,62.2,853298,76.5,42,587136,52.6,880868,259145,96.5,213946,79.7,89297,116294,6946,1409,466456,173760,617404,879268,72.6,622854,51.4,219995,355883,28916,18060,1475831,121858,136851
Iowa,3099895,98251,127661,2681984,85006,2640415,108738,1474941,46.7,1447411,59.6,1291090,40.9,1277400,52.6,1591395,1331500,177000,0,104232,1197444,1380186,122,561071,627641,102316,62,560978,614097,102263,62,1188774,46.7,1447411,59.6,37.7,1175137,48.4,1474941,478759,86.6,452128,81.8,242988,200043,9052,45,927036,167652,560606,1474908,55.1,1291079,48.2,561065,627638,102314,62,2681968,100212,115828
Idaho,1539755,86161,115005,1181916,66137,1181864,88274,643832,36,643657,48.1,553039,30.9,552972,41.3,791115,652540,96100,0,35831,523080,622377,628,234216,282927,35699,197,234207,282882,35687,196,517340,36,643657,48.1,28.9,517285,38.6,643832,226748,78,209944,72.2,98258,104057,7547,82,435206,149725,529726,643818,43.1,553028,37,234214,282925,35692,197,1181897,79035,102966
Indian Health Svc,1702335,81732,N/A,1320102,63381,1283397,N/A,742999,35.7,720644,N/A,590621,28.4,576318,N/A,717015,911620,73700,0,21378,736139,562585,0,319107,250300,21214,0,318916,236222,21180,0,569407,35.7,720644,N/A,27.3,555138,0,742999,147081,0,120232,0,69290,48668,2274,0,268054,0,0,742734,0,590507,0,319044,250261,21202,0,1319705,0,0
Illinois,13306375,105008,135036,10774776,85029,10542448,106987,6460412,51,6287711,63.8,4661795,36.8,4595154,46.6,7097415,5406160,802800,0,356992,4483940,5927269,6575,1827831,2474276,357472,2216,1824846,2412186,355917,2205,4304323,51,6287711,63.8,34,4239237,43,6460412,1765743,86.4,1407311,68.9,652519,699579,53922,1291,3127610,153072,651242,6457161,59.6,4661712,43,1827792,2474254,357450,2216,10771457,99388,122777
Indiana,5987240,88934,115936,4766201,70797,4693101,90877,2653142,39.4,2603151,50.4,2196547,32.6,2177395,42.2,3178500,2408040,400700,0,156347,1963997,2635356,10501,876336,1162398,154378,3435,876223,1143452,154287,3433,2042169,39.4,2603151,50.4,30.3,2023108,39.2,2653142,867776,79.9,812970,74.9,406370,385422,19094,2084,1690774,155725,551442,2653022,46.5,2196518,38.5,876328,1162389,154366,3435,4766071,83541,104947
Kansas,2888985,99165,130542,2213221,75969,2183878,98681,1302672,44.7,1281173,57.9,1062451,36.5,1050595,47.5,1449825,1276460,162700,0,66407,1007837,1138401,576,461544,534237,66481,189,461429,522545,66433,188,995970,44.7,1281173,57.9,34.2,984162,44.5,1302672,425277,89.4,358458,75.4,174472,171655,12225,106,753479,158465,607584,1302574,53.1,1062433,43.3,461537,534231,66476,189,2213115,90269,117836
Kentucky,4173955,93426,120467,3440394,77006,3395679,98005,1950084,43.6,1920518,55.4,1620902,36.3,1605953,46.4,2117115,1811640,245200,0,127888,1544907,1767232,367,689657,805654,125269,322,689564,790859,125209,321,1495633,43.6,1920518,55.4,33.5,1480744,42.7,1950084,619304,82.5,547431,72.9,249400,269159,28674,198,1123500,149687,556109,1949818,51.2,1620874,42.6,689650,805648,125254,322,3439420,90364,109663
Louisiana,3797620,81690,106640,2925540,62931,2901956,81489,1580779,34,1566385,44,1371788,29.5,1362787,38.3,1919580,1644640,233400,0,98281,1375582,1450664,1013,614500,662620,94159,509,614349,653847,94084,507,1277629,34,1566385,44,27.5,1268703,35.6,1580779,561606,75.8,524293,70.8,250578,257020,16590,105,1092854,147479,512484,1580676,40.3,1371760,35,614495,662613,94143,509,2925419,74565,96796
Massachusetts,8523650,123666,153865,7346310,106584,7175272,129524,4316739,62.6,4189888,75.6,3243966,47.1,3198678,57.7,4645290,3458160,420200,0,241497,3037948,4066736,129,1255630,1745410,242893,33,1253845,1702682,242120,31,3001073,62.6,4189888,75.6,43.5,2956558,53.4,4316739,1094068,93.6,950287,81.3,432405,459817,58051,14,1986346,169870,728933,4314706,71.7,3243947,53.9,1255624,1745402,242888,33,7344304,122064,141665
Maryland,7154150,118335,151861,5588658,92441,5459764,115894,3231842,53.5,3139718,66.6,2575259,42.6,2539653,53.9,3876210,2855840,422100,0,216317,2306267,3061985,4089,1010095,1354096,209884,1184,1009930,1318759,209785,1179,2365375,53.5,3139718,66.6,39.1,2329868,49.5,3231842,834473,87,751302,78.3,367253,340557,43049,443,1530956,159575,745693,3231636,62.6,2575203,49.9,1010073,1354080,209866,1184,5588443,108243,138569
Maine,1628280,121133,148651,1350580,100474,1330896,121502,790930,58.8,776989,70.9,654748,48.7,648924,59.2,826800,704880,96600,0,87543,588778,674070,189,257678,309684,87324,62,257647,303927,87293,57,567424,58.8,776989,70.9,42.2,561631,51.3,790930,263367,92.3,245593,86.1,111769,114287,19520,17,487492,170891,570796,790867,66.7,654726,55.3,257675,309681,87308,62,1350510,113973,137415
Marshall Islands,51300,87823,112594,29328,50208,29262,64225,15872,27.2,15826,34.7,13545,23.2,13525,29.7,0,40500,10800,0,125,29203,0,0,13412,5,128,0,13392,5,128,0,13417,27.2,15826,34.7,23,13397,29.4,15872,959,9.7,816,8.2,807,0,9,0,1766,17784,516616,15856,31.8,13538,27.1,13405,5,128,0,29305,58746,102839
Michigan,10576610,105905,134855,8113368,81240,7962778,101528,4592874,46,4491877,57.3,3881437,38.9,3830244,48.8,5560230,4396780,619600,0,269174,3426194,4416707,1293,1555909,2050845,274115,568,1555583,2000112,273983,566,3607322,46,4491877,57.3,36.1,3556261,45.3,4592874,1441434,81.6,1329586,75.3,665983,611020,52201,382,2692508,152515,599105,4592692,53.4,3881395,45.2,1555892,2050830,274105,568,8113163,94394,123055
Minnesota,5776950,102435,133218,5010207,88839,4904919,113108,2886623,51.2,2813851,64.9,2362139,41.9,2329390,53.7,3104790,2369260,302900,0,219903,2068199,2721806,299,921396,1218720,221929,94,920836,1186726,221736,92,2140210,51.2,2813851,64.9,37.9,2107654,48.6,2886623,820641,89.2,755725,82.1,319421,395626,40651,27,1521520,165314,627669,2885335,60.4,2362102,49.4,921389,1218708,221911,94,5008887,104830,120905
