COVID-19 Vaccinations in the United States
Date generated: Wed May 19 2021 15:13:22 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,794195,108564,143990,587995,80377,571577,103629,321664,44,311529,56.5,277461,37.9,271110,49.2,391755,346140,56300,0,17697,260643,309566,89,119427,141587,16423,24,119135,135602,16349,24,261038,44,311529,56.5,35.7,254761,46.2,321664,72503,79.2,67759,74,38659,27219,1866,15,136652,149203,867139,321448,52.8,277456,45.6,119426,141585,16421,24,587783,96536,130436
Alabama,4389040,89514,115051,2905553,59258,2882971,75572,1709333,34.9,1694044,44.4,1362380,27.8,1354671,35.5,2155140,1966300,267600,0,91198,1394927,1419428,0,615243,654011,93051,75,615089,646496,93011,75,1269329,34.9,1694044,44.4,25.9,1261660,33.1,1709333,638582,75.1,542184,63.8,286817,227990,27331,46,1131972,133199,516457,1709053,40.8,1362366,32.5,615237,654005,93049,75,2905268,69390,104828
Arkansas,2720190,90138,117369,1973505,65395,1944139,83884,1138400,37.7,1118522,48.3,886519,29.4,876678,37.8,1339650,1206540,174000,0,61809,935032,976161,503,409268,416730,60396,125,408736,407716,60103,123,826123,37.7,1118522,48.3,27.4,816575,35.2,1138400,392302,74.9,324088,61.9,187444,126759,9798,87,708745,135287,519237,1136911,44.5,886375,34.7,409264,416695,60291,125,1971961,77113,106372
American Samoa,54030,97021,124387,40525,72770,39129,90082,22498,40.4,21702,50,18182,32.6,17585,40.5,37830,15600,600,0,22,9382,31121,0,4104,14049,29,0,4093,13463,29,0,18153,40.4,21702,50,32.6,17556,40.4,22498,2501,26.4,2228,23.5,892,1330,6,0,4640,49012,570719,22497,47.3,18181,38.2,4103,14049,29,0,40523,85209,113611
Arizona,7469565,102622,132475,5635242,77421,5528631,98052,3197814,43.9,3128691,55.5,2457180,33.8,2422836,43,3937245,3123620,408700,0,172598,2473399,2985461,3784,1017035,1272747,166156,1242,1016821,1238719,166056,1240,2291024,43.9,3128691,55.5,31.5,2256780,40,3197814,1062319,81.2,881131,67.3,432877,415973,31507,774,1991316,152168,570791,3197524,51.5,2457110,39.6,1017022,1272724,166122,1242,5634859,90796,120359
Bureau of Prisons,177850,N/A,N/A,171089,N/A,171088,N/A,95950,N/A,95949,N/A,78773,N/A,78773,N/A,99450,70300,8100,0,4436,67708,98945,0,28551,45806,4416,0,28551,45806,4416,0,74357,N/A,95949,N/A,0,74357,0,95950,3194,0,2822,0,1352,1406,64,0,5987,0,0,95949,0,78773,0,28551,45806,4416,0,171088,0,0
California,44976950,113830,146899,35518035,89891,34626219,113093,21168286,53.6,20546254,67.1,15391309,39,15117877,49.4,23914410,18518740,2543800,0,1248501,15207056,19058177,4301,6260231,7891699,1238262,1117,6248899,7634330,1233552,1096,14153047,53.6,20546254,67.1,35.8,13884325,45.3,21168286,5225829,89.5,4083477,69.9,2116166,1837088,129739,484,9258459,158586,770402,21154313,62.9,15390412,45.7,6259870,7891403,1238022,1117,35503359,105519,133676
Colorado,6477190,112476,143963,5209739,90467,5083921,112996,2923899,50.8,2840414,63.1,2393650,41.6,2350998,52.3,3455790,2700400,321000,0,172622,2295264,2740479,1374,1014674,1208195,170385,396,1012684,1168240,169683,391,2223265,50.8,2840414,63.1,38.6,2181315,48.5,2923899,714524,84.8,635961,75.5,318016,302249,15524,172,1358369,161248,768886,2922308,59.2,2393610,48.5,1014664,1208182,170368,396,5208117,105512,131222
Connecticut,4282495,120116,150906,3753824,105288,3651290,128664,2127484,59.7,2056539,72.5,1745551,49,1715903,60.5,2326935,1715760,239800,0,142258,1499310,2111966,290,664257,938811,142416,67,663948,909594,142295,66,1603135,59.7,2056539,72.5,45,1573608,55.5,2127484,581472,92.3,531111,84.3,208135,308403,14551,22,1110743,176240,679498,2126393,68.5,1745175,56.2,664063,938694,142351,67,3752374,120813,137880
District of Columbia,968865,137282,167745,729556,103373,724588,125452,383078,54.3,378402,65.5,289882,41.1,288498,49.9,531765,384800,52300,0,23333,288565,417489,169,109403,153310,27027,142,109378,151970,27010,140,262855,54.3,378402,65.5,37.2,261488,45.3,383078,70751,81,60164,68.9,34846,23456,1848,14,158469,181433,1109270,383039,62.8,289868,47.5,109399,153302,27025,142,729496,119638,158894
