COVID-19 Vaccinations in the United States
Date generated: Thu May 20 2021 15:15:11 GMT+0000 (Coordinated Universal Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,797805,109058,144645,590878,80771,573070,103899,323863,44.3,312396,56.6,278305,38,271897,49.3,395265,346240,56300,0,17948,261166,311675,89,119698,141916,16667,24,119406,135874,16593,24,261638,44.3,312396,56.6,35.8,255304,46.3,323863,72571,79.2,67829,74.1,38697,27232,1885,15,136775,149337,871080,323533,53.1,278300,45.7,119697,141914,16665,24,590552,96990,131029
Alabama,4393980,89615,115180,2906102,59270,2883512,75586,1709761,34.9,1694451,44.4,1362834,27.8,1355121,35.5,2157480,1968800,267700,0,91207,1395289,1419606,0,615523,654153,93082,76,615368,646635,93042,76,1269752,34.9,1694451,44.4,25.9,1262079,33.1,1709761,638619,75.1,542246,63.8,286850,228015,27333,48,1132031,133206,517038,1709480,40.8,1362820,32.5,615517,654147,93080,76,2905817,69403,104946
Arkansas,2721900,90195,117442,1981006,65644,1950522,84160,1142312,37.9,1121455,48.4,890328,29.5,880358,38,1340820,1206880,174200,0,62127,938563,979810,506,411376,418133,60695,124,410830,409007,60400,121,829633,37.9,1121455,48.4,27.5,819958,35.4,1142312,392674,75,324644,62,187805,126912,9842,85,709654,135461,519564,1140758,44.6,890184,34.8,411372,418098,60590,124,1979395,77403,106439
American Samoa,54030,97021,124387,41461,74451,39988,92060,22964,41.2,22111,50.9,18655,33.5,18038,41.5,37830,15600,600,0,26,9760,31675,0,4215,14407,33,0,4203,13802,33,0,18622,41.2,22111,50.9,33.4,18005,41.5,22964,2525,26.7,2254,23.8,900,1347,7,0,4689,49530,570719,22963,48.3,18654,39.2,4214,14407,33,0,41459,87177,113611
Arizona,7538145,103564,133691,5663654,77811,5550735,98444,3212922,44.1,3138282,55.7,2470567,33.9,2435484,43.2,4000425,3128820,408900,0,173616,2486620,2999544,3874,1024912,1277262,167126,1267,1024693,1242501,167025,1265,2303441,44.1,3138282,55.7,31.6,2268459,40.2,3212922,1063520,81.3,882928,67.5,434061,416381,31700,786,1994435,152406,576032,3212624,51.8,2470497,39.8,1024899,1277239,167092,1267,5663265,91254,121464
Bureau of Prisons,182350,N/A,N/A,172022,N/A,172021,N/A,96101,N/A,96100,N/A,79649,N/A,79649,N/A,99450,73200,9700,0,4536,68445,99041,0,29237,45899,4513,0,29237,45899,4513,0,75136,N/A,96100,N/A,0,75136,0,96101,3196,0,2841,0,1368,1407,66,0,6006,0,0,96100,0,79649,0,29237,45899,4513,0,172021,0,0
California,45321600,114703,148025,35767717,90523,34821174,113729,21273160,53.8,20607190,67.3,15541344,39.3,15257039,49.8,24208080,18567820,2545700,0,1254873,15276051,19232404,4389,6306265,7989377,1244556,1146,6294525,7721605,1239787,1122,14296788,53.8,20607190,67.3,36.2,14017252,45.8,21273160,5230815,89.6,4096046,70.2,2119635,1845489,130429,493,9275569,158880,776305,21256276,63.2,15540431,46.2,6305903,7989072,1244311,1145,35750119,106253,134700
Colorado,6503100,112926,144538,5251141,91186,5116458,113719,2944194,51.1,2852711,63.4,2415380,41.9,2371900,52.7,3471000,2710900,321200,0,174463,2307897,2767386,1395,1022872,1219921,172184,403,1020819,1179210,171473,398,2243196,51.1,2852711,63.4,39,2200427,48.9,2944194,715452,84.9,637371,75.7,318519,302928,15750,174,1360588,161511,771962,2942086,59.6,2415339,48.9,1022862,1219907,172167,403,5248998,106340,131747
Connecticut,4327815,121388,152503,3773346,105836,3665654,129170,2135973,59.9,2061019,72.6,1757184,49.3,1726590,60.8,2366715,1721300,239800,0,143159,1504674,2125221,292,668315,945480,143322,67,668004,915321,143199,66,1613862,59.9,2061019,72.6,45.3,1583391,55.8,2135973,581867,92.3,531866,84.4,208475,308723,14646,22,1111853,176416,686689,2134874,68.7,1756807,56.6,668121,945363,143256,67,3771888,121441,139340
District of Columbia,977815,138550,169295,733212,103891,728113,126062,384233,54.4,379325,65.7,293149,41.5,291708,50.5,535275,390140,52400,0,23362,290727,418949,174,111245,154655,27106,143,111219,153259,27089,141,266043,54.4,379325,65.7,37.7,264619,45.8,384233,70832,81.1,60313,69.1,34923,23522,1853,15,158671,181664,1119510,384191,63,293135,48.1,111241,154647,27104,143,733152,120237,160362
